Season,Disk,Episode Number,Episode Title
01,01,1,Roller Coaster Murder Case
01,01,2,Company President's Daughter Kidnapping Case
01,01,3,An Idol's Locked Room Murder Case
01,01,4,The Coded Map of the City Case
01,02,5,The Shinkansen's Bomb Case
01,02,6,Valentine Murder Case
01,02,7,Once-A-Month Present Threat Case
01,02,8,Art Museum Owner Murder Case
01,03,9,Tenkaichi Night Festival Murder Case
01,03,10,Pro Soccer Player Blackmail Case
01,03,11,Moonlight Sonata Murder Case
01,04,12,Ayumi-chan Kidnapping Case
01,04,13,The Strange Person Hunt Murder Case
01,04,14,The Mysterious Shooting Message Case
01,04,15,Missing Corpse Murder Case
01,05,16,The Antique Collector Murder Case
01,05,17,Hijacked Department Store Case
01,05,18,A June Bride Murder Case
01,05,19,An Elevator Murder Case
01,06,20,A Haunted Mansion Murder Case
01,06,21,“On Location, TV Drama Murder Case“
01,06,22,Luxury Liner Serial Murder Case (Part 1)
01,06,23,Luxury Liner Serial Murder Case (Part 2)
01,07,24,The Mysterious Woman With Amnesia Case
01,07,25,The False Kidnapping and Hostage Case
01,07,27,Kogoro's Class Reunion Murder Case (Part 1)
01,07,28,Kogoro's Class Reunion Murder Case (Part 2)
02,01,26,Pet Dog John Murder Case
02,01,29,Computer Murder Case
02,01,30,Alibi Testimony Murder Case
02,01,31,TV Station Murder Case
02,02,32,Coffee Shop Murder Case
02,02,33,Detective Boys Survival Case
02,02,34,Mountain Villa Bandaged Man Murder Case (Part 1)
02,02,35,Mountain Villa Bandaged Man Murder Case (Part 2)
02,03,36,Monday Night 7∶30 p.m. Murder Case
02,03,37,Cactus's Flower Murder Case
02,03,38,Akaoni Village Fire Festival Murder Case
02,03,41,Victory Flag Tearing Case
02,04,39,Wealthy Daughter Murder Case (Part 1)
02,04,40,Wealthy Daughter Murder Case (Part 2)
02,04,42,Karaoke Box Murder Case
02,04,43,Conan Edogawa Kidnapping Case
02,05,44,Three Hotta Brothers Murder Case
02,05,45,Facial Mask Murder Case
02,05,46,Alpine Hut in the Snowy Mountain Murder Case
02,05,47,Sports Club Murder Case
02,06,48,Diplomat Murder Case (Part 1)
02,06,49,Diplomat Murder Case (Part 2)
02,06,50,Library Murder Case
02,06,51,The Golf Driving Range Murder Case
02,07,52,The Mist Goblin Legend Murder Case
02,07,53,The Mystery Weapon Murder Case
02,07,54,Game Company Murder Case
03,01,55,The Train Trick Murder Case
03,01,56,The Ojamanbou Murder Case
03,01,57,Holmes Freak Murder Case (Part 1)
03,01,58,Holmes Freak Murder Case (Part 2)
03,02,59,The First Errand Murder Case
03,02,60,An Illustrator Murder Case
03,02,61,A Ghost Ship Murder Case (Part 1)
03,02,62,A Ghost Ship Murder Case (Part 2)
03,03,63,Big Monster Gomera Murder Case
03,03,64,The Third Fingerprint Murder Case
03,03,65,A Crab and Whale Kidnapping Case
03,03,66,Night Road Murder Case
03,04,63,Big Monster Gomera Murder Case
03,04,64,The Third Fingerprint Murder Case
03,04,65,A Crab and Whale Kidnapping Case
03,04,66,Night Road Murder Case
03,05,71,A Stalker's Murder Case
03,05,72,The Triplet's Country Home Murder Case
03,05,73,The Detective Boys' Disaster Case
03,05,74,The Death God Jinnai Murder Case
03,06,75,Loan Company President's Murder Case
03,06,76,Conan vs. Kaitou Kid
03,06,79,The Bank Heist Murder Case
03,07,77,Distinguished Family's Consecutive Accidental Death Case (Part 1)
03,07,78,Distinguished Family's Consecutive Accidental Death Case (Part 2)
03,07,81,The Kidnapping of a Popular Artist Case (Part 1)
03,07,82,The Kidnapping of a Popular Artist Case (Part 2)
04,01,80,The Wandering Artist Murder Case
04,01,83,General Hospital Murder Case
04,01,84,Ski Lodge Murder Case (Part 1)
04,01,85,Ski Lodge Murder Case (Part 2)
04,02,80,The Wandering Artist Murder Case
04,02,83,General Hospital Murder Case
04,02,84,Ski Lodge Murder Case (Part 1)
04,02,85,Ski Lodge Murder Case (Part 2)
04,03,80,The Wandering Artist Murder Case
04,03,83,General Hospital Murder Case
04,03,84,Ski Lodge Murder Case (Part 1)
04,03,85,Ski Lodge Murder Case (Part 2)
04,04,96,The Cornered Famous Detective! Two Big Murder Cases
04,05,94,Snow Woman's Legend Murder Case
04,05,95,Kogoro's Date Murder Case
04,05,98,The Famous Potter Murder Case (Part 1)
04,05,99,The Famous Potter Murder Case (Part 2)
04,06,100,The Memories of First Love Case (Part 1)
04,06,101,The Memories of First Love Case (Part 2)
04,06,102,The Historical Actor Murder Case (Part 1)
04,06,103,The Historical Actor Murder Case (Part 2)
04,07,97,The Farewell Wine Murder Case
04,07,104,The Mysterious Mansion of a Band of Thieves Case (Part 1)
04,07,105,The Mysterious Mansion of a Band of Thieves Case (Part 2)
04,07,106,Scoop Picture Murder Case
05,01,107,The Mysterious Mole Alien Case (Part 1)
05,01,108,The Mysterious Mole Alien Case (Part 2)
05,01,109,Detective Club Pursuit Case
05,01,112,The Seven Mysteries of Teitan Elementary School Case
05,02,110,Cooking Classroom Murder Case (Part 1)
05,02,111,Cooking Classroom Murder Case (Part 2)
05,02,114,Scuba Diving Murder Case (Part 1)
05,02,115,Scuba Diving Murder Case (Part 2)
05,03,113,The White Sandy Beach Murder Case
05,03,116,The Mystery Writer Disappearance Case (Part 1)
05,03,117,The Mystery Writer Disappearance Case (Part 2)
05,03,119,The Kamen Yaiba Murder Case
05,04,118,The Naniwa Serial Murder Case
05,04,120,A Honey Cocktail Murder Case
05,04,123,The Weather Girl Kidnapping Case
05,05,121,The Locked Bathroom Murder Case (Part 1)
05,05,122,The Locked Bathroom Murder Case (Part 2)
05,05,124,A Mysterious Sniper Murder Case (Part 1)
05,05,125,A Mysterious Sniper Murder Case (Part 2)
05,06,126,The Traveling Drama Troupe Murder Case (Part 1)
05,06,127,The Traveling Drama Troupe Murder Case (Part 2)
05,06,130,The Indiscriminate Stadium Threatening Case (Part 1)
05,06,131,The Indiscriminate Stadium Threatening Case (Part 2)
05,07,128,The Black Organization∶ One Billion Yen Robbery Case
05,07,132,Magic Lover's Murder Case (The Murder) (Part 1)
05,07,133,Magic Lover's Murder Case (The Suspicion) (Part 2)
05,07,134,Magic Lover's Murder Case (The Resolution) (Part 3)
05,08,129,The Girl from the Black Organization and the University Professor Murder Case
06,01,135,The Disappearing Weapon Search Case
06,01,136,The Old Blue Castle Investigation Case (Part 1)
06,01,137,The Old Blue Castle Investigation Case (Part 2)
06,01,140,SOS! Messages from Ayumi
06,02,138,The Final Screening Murder Case (Part 1)
06,02,139,The Final Screening Murder Case (Part 2)
06,02,141,The Night Before the Wedding Locked Room Case (Part 1)
06,02,142,The Night Before the Wedding Locked Room Case (Part 2)
06,03,143,The Suspicious Astronomical Observation
06,03,144,The North Star No.3 Express Leaving Ueno (Part 1)
06,03,145,The North Star No.3 Express Leaving Ueno (Part 2)
06,03,148,The Streetcar's Sudden Stopping Case
06,04,146,Metropolitan Police Detective Love Story (Part 1)
06,04,147,Metropolitan Police Detective Love Story (Part 2)
06,04,149,The Bungee Jumping Case
06,04,152,The Mysterious Old Man Disappearance Case
06,05,150,The Truth Behind the Car Explosion Case (Part 1)
06,05,151,The Truth Behind the Car Explosion Case (Part 2)
06,05,153,Sonoko's Dangerous Summer Story (Part 1)
06,05,154,Sonoko's Dangerous Summer Story (Part 2)
06,06,155,Underwater Key in the Locked Room Case
06,06,156,Metropolitan Police Detective Love Story 2 (Part 1)
06,06,157,Metropolitan Police Detective Love Story 2 (Part 2)
06,06,158,The Silent Loop Line
06,07,159,The Legend of the Mysterious Five Storied Pagoda (Part 1)
06,07,160,The Legend of the Mysterious Five Storied Pagoda (Part 2)
06,07,162,The Locked Room in the Sky∶ Shinichi Kudo's First Case
07,01,161,The Murder Floating in the Water Stream Restaurant
07,01,163,“The Secret of the Moon, the Star, and the Sun (Part 1)“
07,01,164,“The Secret of the Moon, the Star, and the Sun (Part 2)“
07,01,165,The Disappearing Detective Boys Case
07,02,166,Tottori Spider Mansion Demon (The Murder) (Part 1)
07,02,167,Tottori Spider Mansion Demon (The Suspicion) (Part 2)
07,02,168,Tottori Spider Mansion Demon (The Resolution) (Part 3)
07,02,169,Venus' Kiss
07,03,170,The Blind Spot in the Darkness (Part 1)
07,03,171,The Blind Spot in the Darkness (Part 2)
07,03,172,The Revival of the Dying Message (Part 1)
07,03,173,The Revival of the Dying Message (Part 2)
07,04,174,The Twenty Year Old Murderous Intent∶ The Symphony Serial Murder Case
07,05,175,The Man Who Was Killed Four Times
07,05,176,Reunion with the Black Organization (Haibara)
07,05,177,Reunion with the Black Organization (Conan)
07,05,178,Reunion with the Black Organization (Resolution)
07,06,179,The Coffee Shop Truck's Wild Entrance Case
07,06,180,The Nocturne of Red Murderous Intent (Part 1)
07,06,181,The Nocturne of Red Murderous Intent (Part 2)
07,06,182,The Big Investigation of the Nine Doors
07,07,183,A Dangerous Recipe
07,07,184,A Cursed Mask Coldly Laughs
07,07,187,The Unknown Gunshot That Rings in the Dark
07,08,185,The Murdered Famous Detective (Part 1)
07,08,186,The Murdered Famous Detective (Part 2)
07,08,188,The Desperate Revival ~ The Cavern of the Detective Boys ~ (Part 1)
07,08,189,The Desperate Revival ~ The Wounded Great Detective ~ (Part 2)
07,09,190,The Desperate Revival ~ The Third Choice ~ (Part 3)
07,09,191,The Desperate Revival ~ The Black Knight ~ (Part 4)
07,09,192,The Desperate Revival ~ Shinichi's Return ~ (Part 5)
07,09,193,The Desperate Revival ~ The Promised Place ~ (Part 6)
08,01,194,The Significant Music Box (Part 1)
08,01,195,The Significant Music Box (Part 2)
08,01,196,“The Invisible Weapon, Ran's First Investigation“
08,01,207,The Deduction That Was Too Good
08,02,197,The Super Car's Trap (Part 1)
08,02,198,The Super Car's Trap (Part 2)
08,02,199,“Kogoro Mouri, Suspect (Part 1)“
08,02,200,“Kogoro Mouri, Suspect (Part 2)“
08,03,201,The Tenth Passenger (Part 1)
08,03,202,The Tenth Passenger (Part 2)
08,03,203,The Black Wings of Icarus (Part 1)
08,03,204,The Black Wings of Icarus (Part 2)
08,04,205,Metropolitan Police Detective Love Story 3 (Part 1)
08,04,206,Metropolitan Police Detective Love Story 3 (Part 2)
08,04,208,The Entrance to the Maze∶ The Anger of the Colossus
08,05,209,The Falling from Mt. Ryujin Case
08,05,210,The Water Palace of Five Colors (Part 1)
08,05,211,The Water Palace of Five Colors (Part 2)
08,05,214,The Mysterious Retro Room Case
08,06,212,“Mushrooms, Bears, and the Detective Boys (Part 1)“
08,06,213,“Mushrooms, Bears, and the Detective Boys (Part 2)“
08,06,215,The Bay of Revenge (Part 1)
08,06,216,The Bay of Revenge (Part 2)
08,07,219,The Gathering of the Detectives! Shinichi Kudo vs. Kaitou Kid
09,01,217,Megure's Sealed Secret (Part 1)
09,01,218,Megure's Sealed Secret (Part 2)
09,01,220,The Client Full of Lies (Part 1)
09,01,221,The Client Full of Lies (Part 2)
09,02,222,And Then There Were No Mermaids (The Murder)
09,02,223,And Then There Were No Mermaids (The Deduction)
09,02,224,And Then There Were No Mermaids (The Resolution)
09,02,225,The Secret of the High Sales
09,03,226,The Battle Game Trap (Part 1)
09,03,227,The Battle Game Trap (Part 2)
09,03,228,The Murderous Pottery Class (Part 1)
09,03,229,The Murderous Pottery Class (Part 2)
09,04,230,The Mysterious Passenger (Part 1)
09,04,231,The Mysterious Passenger (Part 2)
09,04,232,The Falling from the Condo Case
09,04,235,The Locked Wine Cellar
09,05,233,The Evidence That Didn't Disappear (Part 1)
09,05,234,The Evidence That Didn't Disappear (Part 2)
09,05,236,The Nanki Shirahama Mystery Tour (Part 1)
09,05,237,The Nanki Shirahama Mystery Tour (Part 2)
09,06,238,“The 3 ““K““s of Osaka Case (Part 1)“
09,06,239,“The 3 ““K““s of Osaka Case (Part 2)“
09,06,240,The Shinkansen Transport Case (Part 1)
09,06,241,The Shinkansen Transport Case (Part 2)
09,07,242,Boy Genta's Misfortune
09,07,243,Kogoro Mouri's Imposter (Part 1)
09,07,244,Kogoro Mouri's Imposter (Part 2)
09,07,245,The Gunshot at the Sunflower Estate
09,08,246,The Mystery in the Net (Part 1)
09,08,247,The Mystery in the Net (Part 2)
09,08,248,The Alibi of the Soothing Forest
09,08,251,The Tragedy at the OK Corral
09,09,249,The Celebrities' Secret (Part 1)
09,09,250,The Celebrities' Secret (Part 2)
09,09,253,Metropolitan Police Detective Love Story 4 (Part 1)
09,09,254,Metropolitan Police Detective Love Story 4 (Part 2)
10,01,252,The Kidnapper in the Picture
10,01,255,The 14th Round of the Matsue Tamatsukuri Linked Verse Contest (Part 1)
10,01,256,The 14th Round of the Matsue Tamatsukuri Linked Verse Contest (Part 2)
10,01,257,The Mysterious Punishment From Heaven
10,02,258,The Man from Chicago (Part 1)
10,02,259,The Man from Chicago (Part 2)
10,02,261,The Fearful Legend of the Snowy Night (Part 1)
10,02,262,The Fearful Legend of the Snowy Night (Part 2)
10,03,260,The Shaking Restaurant
10,03,266,The Truth Behind Valentine's (The Murder)
10,03,267,The Truth Behind Valentine's (The Reasoning)
10,03,268,The Truth Behind Valentine's (The Resolution)
10,04,263,The Osaka Double Mystery - The Naniwa Swordsman and Toyotomi's Castle
10,04,273,Riddle Granny Disappearance Case
10,05,264,Courtroom Confrontation∶ Kisaki vs. Kogoro (Part 1)
10,05,265,Courtroom Confrontation∶ Kisaki vs. Kogoro (Part 2)
10,05,269,The Forgotten Memento from the Crime (Part 1)
10,05,270,The Forgotten Memento from the Crime (Part 2)
10,06,271,The Secret Rushed Omission (Part 1)
10,06,272,The Secret Rushed Omission (Part 2)
10,06,274,The Truth of the Haunted House (Part 1)
10,06,275,The Truth of the Haunted House (Part 2)
10,07,276,The Policeman's Missing Notebook Case
10,07,277,English Teacher vs. Great Western Detective (Part 1)
10,07,278,English Teacher vs. Great Western Detective (Part 2)
10,07,281,The Small Eye-Witnesses
10,08,279,Hooligan's Labyrinth (Part 1)
10,08,280,Hooligan's Labyrinth (Part 2)
10,08,282,The Mystery of the Water-Flowing Stone Garden (Part 1)
10,08,283,The Mystery of the Water-Flowing Stone Garden (Part 2)
10,09,289,Mitsuhiko's Mystifying Forest (Part 1)
10,09,290,Mitsuhiko's Mystifying Forest (Part 2)
10,09,284,Chinatown Deja Vu in the Rain (Part 1)
10,09,285,Chinatown Deja Vu in the Rain (Part 2)
11,01,286,Shinichi Kudo's New York Case (Case Part)
11,01,287,Shinichi Kudo's New York Case (Deduction Part)
11,01,288,Shinichi Kudo's New York Case (Solution Part)
11,01,296,Houseboat Fishing Shock
11,02,291,Solitary Island of the Princess and the Dragon King's Palace (The Murder)
11,02,292,Solitary Island of the Princess and the Dragon King's Palace (The Investigation)
11,02,293,Solitary Island of the Princess and the Dragon King's Palace (The Resolution)
11,02,303,The Victim Who Came Back
11,03,294,The Smash of Determination and Love (Part 1)
11,03,295,The Smash of Determination and Love (Part 2)
11,03,297,Courtroom Confrontation II∶ Kisaki vs. Kujo (Part 1)
11,03,298,Courtroom Confrontation II∶ Kisaki vs. Kujo (Part 2)
11,04,299,The Kanmon Strait of Friendship and Murderous Intent (Part 1)
11,04,300,The Kanmon Strait of Friendship and Murderous Intent (Part 2)
11,04,301,Parade of Malice and Saint (Part 1)
11,04,302,Parade of Malice and Saint (Part 2)
11,05,304,The Trembling Police Headquarters∶ 12 Million Hostages
11,05,314,The Scenic Lookout with the Broken Fence
11,06,305,The Unseen Suspect (Part 1)
11,06,306,The Unseen Suspect (Part 2)
11,06,307,On the Trail of a Silent Witness (Part 1)
11,06,308,On the Trail of a Silent Witness (Part 2)
11,07,309,Contact with the Black Organization (Negotiation Chapter)
11,07,310,Contact with the Black Organization (Pursuit Chapter)
11,07,311,Contact with the Black Organization (Desperation Chapter)
11,07,315,Place Exposed to the Sun
11,08,312,Festival Dolls Dyed in the Setting Sun (Part 1)
11,08,313,Festival Dolls Dyed in the Setting Sun (Part 2)
11,08,320,The Art of Ninja Alibi Craft
11,08,328,The Birthday Wine Mystery
12,01,316,The Sullied Masked Hero (Part 1)
12,01,317,The Sullied Masked Hero (Part 2)
12,01,318,The Lucky Cigar Case (Part 1)
12,01,319,The Lucky Cigar Case (Part 2)
12,02,321,The Kidnapper's Disappearing Getaway Car (Part 1)
12,02,322,The Kidnapper's Disappearing Getaway Car (Part 2)
12,02,323,Heiji Hattori's Desperate Situation! (Part 1)
12,02,324,Heiji Hattori's Desperate Situation! (Part 2)
12,03,325,The Red Horse within the Flames (The Incident) (Part 1)
12,03,326,The Red Horse within the Flames (The Investigation) (Part 2)
12,03,327,The Red Horse within the Flames (The Resolution) (Part 3)
12,03,337,Hidden Circumstances of the Falling Incident
12,04,329,A Friendship That Can't Be Bought (Part 1)
12,04,330,A Friendship That Can't Be Bought (Part 2)
12,04,331,The Suspicious Spicy Curry (Part 1)
12,04,332,The Suspicious Spicy Curry (Part 2)
12,05,333,The Similar Princesses (Part 1)
12,05,334,The Similar Princesses (Part 2)
12,05,335,Secret of the Tohto Film Development Studio (Part 1)
12,05,336,Secret of the Tohto Film Development Studio (Part 2)
12,06,338,The Four Porsches (Part 1)
12,06,339,The Four Porsches (Part 2)
12,06,340,Hidden Bathroom Secret (Part 1)
12,06,341,Hidden Bathroom Secret (Part 2)
12,07,342,The Bride of Huis ten Bosch
12,07,343,The Convenience Store Trap (Part 1)
12,07,344,The Convenience Store Trap (Part 2)
12,08,345,Head-to-Head Match with the Black Organization∶ A Dual Mystery on a Full Moon Night
12,09,346,Find the Buttock's Mark (Part 1)
12,09,347,Find the Buttock's Mark (Part 2)
12,09,348,“Love, Ghosts, and World Heritage (Part 1)“
12,09,349,“Love, Ghosts, and World Heritage (Part 2)“
12,10,350,The Forgotten Cell Phone (Part 1)
12,10,351,The Forgotten Cell Phone (Part 2)
12,10,352,The Fishing Tournament Tragedy (Part 1)
12,10,353,The Fishing Tournament Tragedy (Part 2)
13,01,354,A Small Client (Part 1)
13,01,355,A Small Client (Part 2)
13,01,356,Kaitou Kid's Miraculous Midair Walk
13,02,357,Sweetheart is an Illusion of Spring
13,02,358,Metropolitan Police Detective Love Story 5 (Part 1)
13,02,359,Metropolitan Police Detective Love Story 5 (Part 2)
13,02,360,A Mysterious Spring Beetle
13,03,361,Teitan High School's Ghost Story (Part 1)
13,03,362,Teitan High School's Ghost Story (Part 2)
13,03,363,The City Crows
13,03,368,The Candy House the Witch Lives In
13,04,364,The Synchronicity Case (Part 1)
13,04,365,The Synchronicity Case (Part 2)
13,04,366,The Tragedy of the Pier in Plain Sight (Part 1)
13,04,367,The Tragedy of the Pier in Plain Sight (Part 2)
13,05,369,A Lucky Man's Suspense
13,05,370,Running Away in a Game
13,05,371,A Course Without Protest (Part 1)
13,05,372,A Course Without Protest (Part 2)
13,06,373,Deadly Poisonous Spider Trap
13,06,374,A Code of Stars and Tobacco (Part 1)
13,06,375,A Code of Stars and Tobacco (Part 2)
13,06,376,The Time Limit is 15∶00!
13,07,377,Momotarou Mystery Solving Tour (Part 1)
13,07,378,Momotarou Mystery Solving Tour (Part 2)
13,07,379,The Case of the Furisode at the Hidden Hot Spring on a Snowy Night (Part 1)
13,07,380,The Case of the Furisode at the Hidden Hot Spring on a Snowy Night (Part 2)
13,08,381,Which One's Deduction Show (Part 1)
13,08,382,Which One's Deduction Show (Part 2)
13,08,388,Kogoro Gets Drunk in Satsuma (Part 1)
13,08,389,Kogoro Gets Drunk in Satsuma (Part 2)
13,09,383,Miracle at Koshien Ball Park! The Defiants Face the Dark Demon
13,10,384,The Target is Kogoro Mouri
13,10,385,The Dissonance of the Stradivarius (Prelude)
13,10,386,The Dissonance of the Stradivarius (Interlude)
13,10,387,The Dissonance of the Stradivarius (Postlude)
14,01,390,Metropolitan Police Detective Love Story 6 (Part 1)
14,01,391,Metropolitan Police Detective Love Story 6 (Part 2)
14,01,392,The Mysterious Height Difference of 20cm
14,01,393,A Kidnapping Case... So It Seems
14,02,394,Big Adventure in the Eccentric Mansion∶ The Seal (Part 1)
14,02,395,Big Adventure in the Eccentric Mansion∶ The Mechanism (Part 2)
14,02,396,Big Adventure in the Eccentric Mansion∶ The Resolution (Part 3)
14,02,397,“Hot, Bitter, Sweet Soup“
14,03,398,The Strange Family's Request (Part 1)
14,03,399,The Strange Family's Request (Part 2)
14,03,400,Ran's Suspicions
14,03,405,The Man Who Called for an Ambulance
14,04,401,A Jewel Thief Caught Red-Handed (Part 1)
14,04,402,A Jewel Thief Caught Red-Handed (Part 2)
14,04,403,The Mysterious Angel's Mansion (Part 1)
14,04,404,The Mysterious Angel's Mansion (Part 2)
14,05,406,Conan and Heiji's Deduction Magic∶ The Trick (Part 1)
14,05,407,Conan and Heiji's Deduction Magic∶ The Mansion (Part 2)
14,05,408,Conan and Heiji's Deduction Magic∶ The Resolution (Part 3)
14,05,413,The Half Completed Crime Mystery
14,06,409,The Simultaneous Stage Advance and Kidnapping (Part 1)
14,06,410,The Simultaneous Stage Advance and Kidnapping (Part 2)
14,06,411,The Shinto Shrine Torii's Surprising Code (Part 1)
14,06,412,The Shinto Shrine Torii's Surprising Code (Part 2)
14,07,414,The Detective Boys' Bluebird Chase
14,07,415,The Evil Spirit Appears on An Unlucky Day∶ The Case (Part 1)
14,07,416,The Evil Spirit Appears on An Unlucky Day∶ The Suspicion (Part 2)
14,07,417,The Evil Spirit Appears on An Unlucky Day∶ The Solution (Part 3)
14,08,418,Home of Beika's Grenier
14,08,419,Sword of the Eight-Headed Serpent (Part 1)
14,08,420,Sword of the Eight-Headed Serpent (Part 2)
14,08,423,The Detective Boys and the Four Caterpillar Brothers
14,09,421,Gingko-Colored First Love (Part 1)
14,09,422,Gingko-Colored First Love (Part 2)
14,09,424,The Photo Mail from the Clown
14,09,426,Love Letter to Ran
14,10,425,Black Impact! The Moment the Black Organization Reaches Out
15,01,427,Super Secret of the Road to School (Part 1)
15,01,428,Super Secret of the Road to School (Part 2)
15,01,429,Two People Who Can't Return (Part 1)
15,01,430,Two People Who Can't Return (Part 2)
15,02,431,Metropolitan Police Detective Love Story 7 (Part 1)
15,02,432,Metropolitan Police Detective Love Story 7 (Part 2)
15,02,433,Conan∶ A Strange Child
15,02,434,The Great Dog Coeur's Triumph
15,03,435,Information Gathered About the Detective Boys (Part 1)
15,03,436,Information Gathered About the Detective Boys (Part 2)
15,03,437,Aya Ueto and Shinichi - The Promise from 4 Years Ago
15,03,438,The Pursuit of the Fish E-mail
15,04,439,And It'd Be Nice if Everybody Disappeared
15,04,440,The Car Stunt's Utmost Limit
15,04,441,“The Final ““Ahh“““
15,04,442,The Man Obstructed by the Steel Frame
15,05,443,Clam Digging With a Sigh (Part 1)
15,05,444,Clam Digging With a Sigh (Part 2)
15,05,445,Secret of the Russian Blue
15,05,448,The Meguro Sanma Case
15,06,446,The Sealed Western-Style Window (Part 1)
15,06,447,The Sealed Western-Style Window (Part 2)
15,06,449,Metropolitan Police Detective Love Story - Fake Wedding
15,07,450,Trick vs. Magic (Part 1)
15,07,451,Trick vs. Magic (Part 2)
15,07,452,The Phantom of the Konpira
15,08,453,Preview Screening of Fate and Friendship
15,08,454,The Overturned Conclusion (Part 1)
15,08,455,The Overturned Conclusion (Part 2)
15,08,456,The Mystery I Loved
15,09,457,Sonoko's Red Handkerchief (Part 1)
15,09,458,Sonoko's Red Handkerchief (Part 2)
15,09,459,A Mysterious Man - Overly Strict with Regulations
15,09,460,S
15,10,462,The Shadow of the Black Organization (The Young Witness) (Part 1)
15,10,463,The Shadow of the Black Organization (The Strange Illumination) (Part 2)
15,10,464,The Shadow of the Black Organization (The Mystery of the Big Reward) (Part 3)
15,10,465,The Shadow of the Black Organization (Shining Star of Pearl) (Part 4)
16,01,461,The Missing Page
16,01,466,The Unsmashable Snowman (Part 1)
16,01,467,The Unsmashable Snowman (Part 2)
16,01,468,Mysterious Case Near the Pond
16,02,469,Kaitou Kid and the Four Masterpieces (Part 1)
16,02,470,Kaitou Kid and the Four Masterpieces (Part 2)
16,02,471,The Uncontrollable Rental Car!
16,02,474,The Love of Lawyer Eri Kisaki
16,03,472,Shinichi Kudo's Childhood Adventure (Part 1)
16,03,473,Shinichi Kudo's Childhood Adventure (Part 2)
16,03,475,Bad Luck Grand Prix
16,03,478,Real 30 Minutes
16,04,476,Genta's Certain Kill Shot (Part 1)
16,04,477,Genta's Certain Kill Shot (Part 2)
16,04,480,Yellow Alibi
16,04,483,The Vanished Policeman
16,05,479,Three Days with Heiji Hattori
16,06,481,Mountain Witch's Cutlery (Part 1)
16,06,482,Mountain Witch's Cutlery (Part 2)
16,06,484,Whereabouts of the Dark Photograph (Part 1)
16,06,485,Whereabouts of the Dark Photograph (Part 2)
16,07,487,Metropolitan Police Detective Love Story 8∶ The Left Hand's Ring Finger
16,07,488,The Devil of the TV Station
16,08,489,Courtroom Confrontation III∶ Prosecutor as Eyewitness
16,08,490,Heiji Hattori vs. Shinichi Kudo∶ Deduction Battle on the Ski Slope!
17,01,486,Beckoning Cat from Right to Left
17,01,491,Clash of Red and Black (The Beginning)
17,01,492,Clash of Red and Black (Blood Relative)
17,01,493,Clash of Red and Black (Exclamation)
17,02,494,Clash of Red and Black (Hades)
17,02,495,Clash of Red and Black (Coma)
17,02,496,Clash of Red and Black (Invasion)
17,02,497,Clash of Red and Black (Awakening)
17,03,498,Clash of Red and Black (Disturbance)
17,03,499,Clash of Red and Black (Disguise)
17,03,500,Clash of Red and Black (Testament)
17,03,501,Clash of Red and Black (Suspicion)
17,04,502,Clash of Red and Black (Innocence)
17,04,503,Clash of Red and Black (Ready to Die)
